Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Approval Status,Approval Date,Origin
Nefertum,Ganymede,29.00,44.35,321.04,"Planetographic, +West, 0 - 360",Approved,1997,"Original divine son of the Memphis triad, son of Ptah."
Neheh,Ganymede,54.00,72.13,62.66,"Planetographic, +West, 0 - 360",Approved,1985,Egyptian god of eternity.
Neith,Ganymede,90.00,29.45,6.97,"Planetographic, +West, 0 - 360",Approved,1988,Egyptian warrior goddess; goddess of domestic arts.
Nergal,Ganymede,9.60,38.58,200.33,"Planetographic, +West, 0 - 360",Approved,1997,Assyro-babylonian king of the underworld.
Nicholson Regio,Ganymede,3900.00,-33.10,6.40,"Planetographic, +West, 0 - 360",Approved,1979,Seth Barnes; American astronomer (1891-1963).
Nidaba,Ganymede,199.00,17.75,123.43,"Planetographic, +West, 0 - 360",Approved,1985,Sumerian grain goddess.
Nigirsu,Ganymede,53.00,-58.26,320.57,"Planetographic, +West, 0 - 360",Approved,1979,"Assyro-Babylonian; god of the fields, war god."
Nineveh Sulcus,Ganymede,1700.00,23.20,53.00,"Planetographic, +West, 0 - 360",Approved,1997,City where Ishtar was worshipped.
Ningishzida,Ganymede,32.00,14.11,189.84,"Planetographic, +West, 0 - 360",Approved,1997,Sumerian vegetation god.
Ninkasi,Ganymede,81.00,59.21,48.85,"Planetographic, +West, 0 - 360",Approved,1988,Sumerian goddess of brewing.
Ninki,Ganymede,194.00,-8.37,120.79,"Planetographic, +West, 0 - 360",Approved,1985,"Consort to Ea, Babylonian god of water."
Ninlil,Ganymede,91.00,6.27,118.32,"Planetographic, +West, 0 - 360",Approved,1985,Chief Assyrian goddess; Asshur's consort.
Ninsum,Ganymede,88.00,-14.35,140.55,"Planetographic, +West, 0 - 360",Approved,1985,Minor Babylonian goddess of wisdom; Gilgamesh's mother.
Nippur Sulcus,Ganymede,1425.00,35.41,183.35,"Planetographic, +West, 0 - 360",Approved,1985,Sumerian city.
Nun Sulci,Ganymede,1500.00,49.50,316.40,"Planetographic, +West, 0 - 360",Approved,1979,Egyptian; chaos; primordial ocean; held germ of all things.
Nut,Ganymede,90.00,-54.21,269.20,"Planetographic, +West, 0 - 360",Approved,1979,Egyptian goddess of the sky.
Ombos,Ganymede,177.00,4.75,236.16,"Planetographic, +West, 0 - 360",Approved,"Aug 16, 2013",Egyptian town where Sebek's triad worshiped; present Kom Ombo.
[Ombos Facula],Ganymede,170.00,4.80,236.00,"Planetographic, +West, 0 - 360",Dropped,1985,Egyptian town where Sebek's triad worshipped; present Kom Ombo.
Osiris,Ganymede,107.00,-38.00,166.31,"Planetographic, +West, 0 - 360",Approved,1979,Egyptian god of the dead.
Perrine Regio,Ganymede,3800.00,34.00,28.00,"Planetographic, +West, 0 - 360",Approved,1979,Charles D.; American astronomer (1867-1951).
Philae Sulcus,Ganymede,900.00,68.40,168.20,"Planetographic, +West, 0 - 360",Approved,1997,Temple that was the chief sanctuary of Isis.
Philus Sulcus,Ganymede,465.00,44.50,209.90,"Planetographic, +West, 0 - 360",Approved,1979,Greek; where Ganymede and Hebe were worshipped as rain-givers.
Phrygia Sulcus,Ganymede,3700.00,12.00,20.60,"Planetographic, +West, 0 - 360",Approved,1979,Greek; kingdom in Asia Minor where Ganymede was born.
Ptah,Ganymede,30.00,-65.90,217.05,"Planetographic, +West, 0 - 360",Approved,1988,Sovereign god of Memphis; patron of artisans.
Punt,Ganymede,135.00,-24.89,239.85,"Planetographic, +West, 0 - 360",Approved,1997,Land east of Egypt where Bes originated. Changed from Punt Facula.
[Punt Facula],Ganymede,228.00,-26.10,242.20,"Planetographic, +West, 0 - 360",Dropped,1985,Land east of Egypt where Bes originated. Changed to Punt (crater).
Rum Patera,Ganymede,38.00,-30.66,182.82,"Planetographic, +West, 0 - 360",Approved,"Mar 02, 2015","Wadi in Jordan associated with travels of T. E. Lawrence, petroglyphs,  and several Neolithic sites."
Ruti,Ganymede,16.00,13.23,308.65,"Planetographic, +West, 0 - 360",Approved,1979,Phoenician; Byblos god.
[Sais Facula],Ganymede,137.00,37.90,14.20,"Planetographic, +West, 0 - 360",Dropped,1988,Capital of Egypt in mid-7th century B.C.
